,surf_acc,surf_vacc,surfloss,surf_vloss
0,0.7370121,0.6253458857536316,0.5931280847514062,0.6815619104529984
1,0.77549136,0.6264526844024658,0.49810581654653985,0.8171812807847336
2,0.789056,0.6353071331977844,0.47622076487908604,1.7940163877568458
3,0.7919166,0.6275594830513,0.4654212417093889,1.0120683323043564
4,0.794408,0.5949087142944336,0.45455257373068664,0.8547172466026002
5,0.79800683,0.6187050342559814,0.44845555460495934,1.1904136121240054
6,0.8040048,0.587714433670044,0.44316141636397793,0.9067871553434742
7,0.80428165,0.4842280149459839,0.4424282230029107,1.3546548854203004
8,0.8036357,0.6519092321395874,0.43494886589180093,0.6362193241245389
9,0.80409706,0.6995019316673279,0.4415730591370103,0.6422548380819024
10,0.8036357,0.7703375816345215,0.4319349758500948,0.5164903933434903
11,0.8130479,0.6651909351348877,0.42047334052852636,0.8934109260982153
12,0.82043,0.786386251449585,0.4101854699822032,0.4851508268506143
13,0.8262434,0.5938018560409546,0.40294125895059296,1.0161131701561532
14,0.8276276,0.8052020072937012,0.38847827321353123,0.4168841681826095
15,0.83168775,0.5190924406051636,0.3881190252406379,1.4573494346681457
16,0.83510196,0.6541228294372559,0.38633181901229774,0.797890197116661
17,0.837778,0.7802988290786743,0.3738044693899669,0.5657326167064869
18,0.8435914,0.6978417038917542,0.3667516971169071,0.6619463890964112
19,0.8462674,0.7836192846298218,0.3540770867271398,0.4619077893997598
20,0.8479284,0.5273934602737427,0.3532520020108189,1.1400999111171315
21,0.8521731,0.7703375816345215,0.34714579973821874,0.46186333536013224
22,0.86149305,0.8544548749923706,0.32846589531253445,0.3715520050720939
23,0.8606625,0.5451023578643799,0.3292786093493873,1.2950837001262214
24,0.8690597,0.7470946311950684,0.31085648436965213,0.5660894042098463
25,0.8726585,0.6618704795837402,0.30413636351529333,0.614272188995184
26,0.8777337,0.619258463382721,0.29188922327295425,1.3850848086782734
27,0.88345486,0.8395130038261414,0.2817788202254724,0.381589286078817
28,0.8808711,0.5229662656784058,0.2803827433625941,2.5450406845759006
29,0.885854,0.6862202286720276,0.2676874935273602,0.9467553771185979
30,0.8975731,0.8494742512702942,0.24816217944005367,0.4524010335279224
31,0.8983113,0.6928610801696777,0.24095920836825405,1.3736266729913602
32,0.9008028,0.8450470566749573,0.24680144877778964,0.4181169455981281
33,0.90412474,0.6856668591499329,0.23248255915463362,0.7498794995623527
34,0.9002491,0.739346981048584,0.23506264366904583,0.742531287694153
35,0.91473657,0.7902600765228271,0.20741831518202963,0.5249021792661669
36,0.9156593,0.8052020072937012,0.20400630755376978,0.4707790044176031
37,0.9244256,0.7470946311950684,0.19125437751361515,0.8885096579235549
38,0.9254406,0.6524626612663269,0.18461586088815266,0.9101013964506955
39,0.93088496,0.7941339015960693,0.1759426113635046,0.8830924291629086
40,0.9153903,0.9457364082336426,0.21398946572480815,0.16262041639582
41,0.92304856,0.7342192530632019,0.20055756914118467,0.6937634520864904
42,0.92138773,0.9169435501098633,0.19165133754580987,0.23075210972217758
43,0.9303377,0.8538206219673157,0.17531519108074664,0.3522348185776344
44,0.93319803,0.712070882320404,0.169396688471115,0.7620288698664832
45,0.93144494,0.775747537612915,0.1686387059240461,0.6436943048126542
46,0.93688875,0.9186046719551086,0.1598809191870841,0.19226368920772377
47,0.9401181,0.8704319000244141,0.15708461816866562,0.3363376619523249
48,0.94187117,0.7403100728988647,0.1498478192462761,1.1331832827485473
49,0.94307065,0.8006644248962402,0.14483469802199486,0.509949173369875
50,0.9382727,0.8089700937271118,0.15419667031431047,0.5879515284576462
51,0.9475918,0.8189368844032288,0.13466018340515132,0.5450865030626468
52,0.94399333,0.9197120666503906,0.1402604812668531,0.2354255766336572
53,0.9515593,0.723145067691803,0.12643920303677958,1.0821767211327038
54,0.9550655,0.8759689927101135,0.11492467846588733,0.36774818411103116
55,0.9495294,0.8084163665771484,0.13048734700554387,0.5814272723060642
56,0.9532201,0.9031007885932922,0.12062447705234103,0.25370121451047306
57,0.9558959,0.9296788573265076,0.11454818742172726,0.18098670567652975
58,0.9599557,0.8399778604507446,0.10817662593919779,0.4523349719932705
59,0.9587562,0.9208194613456726,0.10783156942391246,0.21323861316638532
60,0.9483299,0.9944629073143005,0.14345192248464006,0.025114764386719942
61,0.953866,0.8095238208770752,0.123922587139489,0.4203926761566191
62,0.9530356,0.9822812676429749,0.12491264874069183,0.06401486632002648
63,0.95608044,0.5448504686355591,0.11755636102336209,3.8190362973505856
64,0.9549732,0.8743078708648682,0.12094865964554095,0.3627566530854995
65,0.957649,0.7851606011390686,0.11326118147790894,0.6134527834900165
66,0.96124744,0.9728682041168213,0.10328892564659167,0.08773588580656941
67,0.9575567,0.905315637588501,0.10930641414228126,0.23407712504798844
68,0.9668758,0.8909191489219666,0.0901612639743412,0.30145039926731704
69,0.96032476,0.9136212468147278,0.10069415058227764,0.23771692068854414
70,0.9617088,0.7890365719795227,0.09757565920283971,0.6449465879743479
71,0.96152425,0.9324473738670349,0.097754179774164,0.20085786157602223
72,0.9630928,0.970099687576294,0.10313499097174925,0.08035167049232908
73,0.96327734,0.8709856271743774,0.09442206623672361,0.36712113460103013
74,0.9685366,0.8748615980148315,0.08408143717268336,0.3601305971416942
75,0.9601402,0.8034330010414124,0.09785747755897026,0.5397862978155826
76,0.9674294,0.9141749739646912,0.08791816816308617,0.23834542291504995
77,0.9665067,0.8698781728744507,0.0866239889163794,0.38370625007454
78,0.96982837,0.9058693051338196,0.08235918199725986,0.22897279194472636
79,0.94104075,0.9091916084289551,0.1541012186542618,0.23119757742985075
80,0.9582026,0.7569213509559631,0.11186021424707594,0.8336219857511894
81,0.9622624,0.8516057729721069,0.09992286045407431,0.4048172825543431
82,0.96300054,0.8997785449028015,0.09332954457030045,0.23088416016608515
83,0.96558404,0.7906976938247681,0.09262132520362402,0.6215998421611345
84,0.9665067,0.9424141645431519,0.08845065728663122,0.15512147203830004
85,0.9701052,0.9568106532096863,0.08063022762942254,0.10573458973821
86,0.970382,0.9667773842811584,0.08556856916748877,0.08838867464547323
87,0.97278094,0.7270210385322571,0.0751978642604372,1.0002776038475079
88,0.9694593,0.9939091801643372,0.07855126041864685,0.02262066470372469
89,0.9619856,0.9844961166381836,0.10750914313356955,0.045578743222840994
90,0.9716737,0.946290135383606,0.07700612394145702,0.12606579620893404
91,0.97361135,0.7414174675941467,0.07459518089685964,1.1089652432722246
92,0.9711201,0.8936877250671387,0.08112270433698375,0.2570864362036403
93,0.9757335,0.9822812676429749,0.06735079780268334,0.046274734490807864
94,0.97508764,0.8493909239768982,0.06586729773014514,0.391360190240869
95,0.9732423,0.8615725636482239,0.07532534269163323,0.4024041320215913
96,0.97315,0.9778516292572021,0.0712976191274672,0.06510034995437172
97,0.97564125,0.8067552447319031,0.06575873788376756,0.8229456516077001
98,0.979332,0.8970099687576294,0.06059134240267538,0.3381618821079681
99,0.9746263,0.970099687576294,0.06825440578316659,0.06279752931501772
100,0.9677062,0.945182740688324,0.08811085891943754,0.16754323939054355
101,0.9713969,0.9629014134407043,0.0774771131487114,0.0804850713062128
102,0.9729655,0.9069767594337463,0.07178337876771754,0.24567092141571764
103,0.9746263,0.8455149531364441,0.06576014523505945,0.4551287711920796
104,0.97739434,0.9856035709381104,0.06889870163403186,0.04337817237012146
105,0.97674847,0.9833887219429016,0.06461867376952996,0.13113352890690563
106,0.9749031,0.712070882320404,0.06882622723422448,1.3881641936592617
107,0.9761026,0.9678848385810852,0.07081568808196699,0.08191779684914835
108,0.97536445,0.9606866240501404,0.06716765512401744,0.18283687663137715
109,0.975549,0.9335548281669617,0.06507592538550763,0.19036850872823963
110,0.9789629,0.9678848385810852,0.06501532418226806,0.08593348805005699
111,0.9747186,0.8056478500366211,0.06953663706317514,0.5965991156177796
112,0.9797933,0.9811738729476929,0.0589117018028497,0.05185697203118391
113,0.98163867,0.9928017854690552,0.05030292146248854,0.02956743470361149
114,0.9781325,0.9396456480026245,0.060616058615228965,0.1375632487394221
115,0.9815464,0.9008859395980835,0.05058496259049772,0.32480542630716286
116,0.9795165,0.9767441749572754,0.0568533080500592,0.07025200807193453
117,0.9774866,0.9490587115287781,0.06269192729783929,0.15317980200877354
118,0.9795165,0.8671096563339233,0.05863797547294659,0.374016826004945
119,0.9835763,0.9878183603286743,0.05108117479337735,0.027428274948958508
120,0.97647166,0.9994462728500366,0.07057005504863229,0.0026682336072892296
121,0.9774866,0.9141749739646912,0.06222321670402744,0.2527486316917479
122,0.97619486,0.9800664186477661,0.06415400762179006,0.04694931923617028
123,0.97794795,0.9368770718574524,0.06387421931135828,0.17818384421195171
124,0.97674847,0.9828349947929382,0.0630819527018134,0.05594087461812024
125,0.97997785,0.9263566136360168,0.05303545858384294,0.22078400936105586
126,0.98117733,0.9972314238548279,0.0523049812793146,0.009784339738397107
127,0.97877836,0.5808416604995728,0.05759699432057997,3.3305279210556384
128,0.9812696,0.9972314238548279,0.05235646104480996,0.010592258658057959
129,0.9806237,0.6544850468635559,0.05566527304383248,1.8634731888375013
130,0.9739804,0.9872646927833557,0.0672961718693766,0.03374090336948006
131,0.98403764,0.9429678916931152,0.046924343815066154,0.17139836817367182
132,0.983484,0.9595791697502136,0.05028194113349063,0.09271969160751944
133,0.980716,0.9235880374908447,0.04972495089148789,0.1935298865493944
134,0.9785938,0.9977851510047913,0.05947517951622861,0.014853134450290233
135,0.9847758,0.8942413926124573,0.044648263924831635,0.2903433657794828
136,0.98108506,0.9545958042144775,0.051665747287977244,0.12188792552134788
137,0.9819155,0.9856035709381104,0.049908124092945004,0.044181133462642116
138,0.98283815,0.9889258146286011,0.04770867220547327,0.03574738178143313
139,0.98108506,0.9102990031242371,0.05327032845241158,0.27961426648256654